Designator,Mid X,Mid Y,Rotation,Layer
C1,-30.607,-11.43,270.0,top
C2,-44.45,9.652,270.0,top
C3,-34.798,9.398,90.0,top
C4,-33.02,-1.27,0.0,top
C5,-44.45,-3.048,270.0,top
C6,-30.734,7.62,0.0,top
C7,-30.734,13.716,0.0,top
D10,-37.211,-22.86,270.0,top
D11,-37.211,-28.448,270.0,top
D12,-37.211,-34.036,270.0,top
D14,-43.307,-17.272,270.0,top
D15,-43.307,-22.86,270.0,top
D16,-43.307,-28.448,270.0,top
D17,-43.307,-34.036,270.0,top
D19,-35.179,-17.272,270.0,top
D20,-35.179,-22.86,270.0,top
D21,-35.179,-28.448,270.0,top
D23,-39.243,-17.272,270.0,top
D24,-39.243,-22.86,270.0,top
D25,-39.243,-28.448,270.0,top
D26,-39.243,-34.036,270.0,top
D33,-41.275,-17.272,270.0,top
D34,-41.275,-22.86,270.0,top
D35,-41.275,-28.448,270.0,top
D36,-41.275,-34.036,270.0,top
D5,-33.147,-17.272,270.0,top
D6,-33.147,-22.86,270.0,top
D7,-33.147,-28.448,270.0,top
D9,-37.211,-17.272,270.0,top
J1,-34.29,22.225,180.0,top
J2,-46.863,19.6525,0.0,top
J3,-53.34,-3.81,0.0,bottom
R1,-30.607,-5.842,270.0,top
R6,-38.354,14.224,270.0,top
R7,-33.782,14.224,270.0,top
SW1,-34.29,-8.636,270.0,top
SW10,28.575,-38.1,0.0,top
SW12,-19.05,16.51,0.0,top
SW13,-19.05,-2.54,0.0,top
SW14,-19.05,-21.59,0.0,top
SW15,-32.131,-45.72,26.5,top
SW17,57.15,8.89,0.0,top
SW18,57.15,-10.16,0.0,top
SW19,57.15,-29.21,0.0,top
SW2,-40.386,-8.636,90.0,top
SW21,19.05,21.59,0.0,top
SW22,19.05,2.54,0.0,top
SW23,19.05,-16.51,0.0,top
SW24,9.525,-38.1,0.0,top
SW3,76.2,6.35,0.0,top
SW31,0.0,19.05,0.0,top
SW32,0.0,0.0,0.0,top
SW33,0.0,-19.05,0.0,top
SW34,-9.525,-40.64,0.0,top
SW4,76.2,-12.7,0.0,top
SW5,76.2,-31.75,0.0,top
SW7,38.1,19.05,0.0,top
SW8,38.1,0.0,0.0,top
SW9,38.1,-19.05,0.0,top
U1,-39.37,3.556,0.0,top
U2,-30.734,10.668,270.0,top
